species,marker,n_sequences,max_intra,min_inter,gap_exists,gap_width,p_overlap,q_overlap,median_intra,median_inter,intra_95,inter_5,percentile_gap,robust_gap,n_congeners_in_db,min_congeneric,congeneric_gap,congeneric_p_overlap,congeneric_q_overlap,n_diagnostic_sites,sampling_adequacy,taxonomic_resolution,gap_may_be_undersampling_artifact,error_msg,assignment_risk,recommended_threshold
Clarias gariepinus,COI,644,0.23405136702568352,0.004142502071251036,FALSE,-0.2299088649544325,0.9283,0.9997,0.07311516155758079,0.09144573322286662,0.13256006628003314,0.01739850869925435,-0.11516155758077878,FALSE,3,0.004867439933719967,-0.22918392709196356,0.9158,1,0,high,genus_or_higher,FALSE,NA,high,0.97
Clarias macrocephalus,COI,100,0.17512427506213754,5.178127589063795e-4,FALSE,-0.17460646230323115,0.9818,0.9799,0.08062344656172328,0.10066280033140017,0.10594449047224523,0.016984258492129246,-0.08896023198011599,FALSE,3,0.00010356255178127589,-0.17502071251035625,0.997,0.999,0,high,genus_or_higher,FALSE,NA,high,0.97
Cobitis sinensis,COI,147,0.17968102734051367,0.009320629660314831,FALSE,-0.17036039768019884,0.7918,0.9637,0.01512013256006628,0.10780861640430821,0.10770505385252693,0.025890637945318973,-0.08181441590720796,FALSE,1,0.00983844241922121,-0.16984258492129245,0.7799,0.9997,2,moderate,genus_or_higher,FALSE,NA,high,0.97
Cobitis taenia,COI,121,0.1562758906379453,0.008492129246064623,FALSE,-0.14778376139188068,0.6471,0.9126,0.10024855012427507,0.10501242750621376,0.11888980944490472,0.01791632145816073,-0.10097348798674399,FALSE,1,0.00983844241922121,-0.1464374482187241,0.641,0.99,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Coilia brachygnathus,COI,192,0.19780447390223696,0.00010356255178127589,FALSE,-0.19770091135045567,0.9978,0.9821,0.03914664457332229,0.14270919635459817,0.19490472245236123,0.033347141673570835,-0.1615575807787904,FALSE,2,0.00010356255178127589,-0.19770091135045567,0.9978,0.9476,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Coilia mystus,COI,124,0.20432891466445732,0.0038318144159072078,FALSE,-0.2004971002485501,0.8964,0.9943,0.09973073736536868,0.10470173985086993,0.1705675227837614,0.01843413421706711,-0.15213338856669428,FALSE,2,6.213753106876554e-4,-0.20370753935376967,0.9367,0.988,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Coilia nasus,COI,1191,0.2743371996685998,2.0712510356255177e-4,FALSE,-0.27413007456503724,0.9962,0.9996,0.1628003314001657,0.1431234465617233,0.20691797845898924,0.03024026512013256,-0.17667771333885668,FALSE,2,0.00010356255178127589,-0.27423363711681853,0.9993,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Collichthys lucidus,COI,166,0.20981772990886496,0.006420878210439105,FALSE,-0.20339685169842586,0.5048,0.9984,0.006628003314001657,0.0927920463960232,0.10791217895608948,0.01636288318144159,-0.09154929577464789,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Colossoma macropomum,COI,822,0.19997928748964375,0.008285004142502071,FALSE,-0.19169428334714167,0.6883,0.9894,0.014291632145816073,0.12655343827671914,0.1512013256006628,0.08233222866611434,-0.06886909693454846,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Coptodon zillii,COI,146,0.2366404308202154,0.00010356255178127589,FALSE,-0.23653686826843412,0.9949,0.9996,0.018227009113504555,0.09838442419221209,0.13719966859983423,0.015430820215410108,-0.12176884838442413,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Coreius guichenoti,COI,108,0.1765741507870754,0.004556752278376139,FALSE,-0.17201739850869924,0.6405,0.9646,0.10418392709196354,0.10501242750621376,0.10646230323115162,0.015534382767191384,-0.09092792046396024,FALSE,1,0.004453189726594863,-0.17212096106048053,0.6409,0.9966,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Coreius heterodon,COI,11,0.17678127589063794,0.006110190555095278,FALSE,-0.17067108533554265,0.5818,0.9261,0.10076636288318144,0.10573736536868268,0.17647058823529413,0.014395194697597348,-0.1620753935376968,FALSE,1,0.004453189726594863,-0.17232808616404308,0.5818,0.9966,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Coreoperca whiteheadi,COI,25,0.19014084507042253,0.011184755592377795,FALSE,-0.17895608947804473,0.7667,0.982,0.10749792874896437,0.10760149130074564,0.18031275890637943,0.017294946147473074,-0.16301781275890637,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Ctenopharyngodon idella,COI,176,0.21074979287489642,0.002071251035625518,FALSE,-0.2086785418392709,0.9388,0.9972,0.07684341342170671,0.09869511184755593,0.1361847555923778,0.014498757249378625,-0.12168599834299917,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Culter alburnus,COI,42,0.17750621375310688,5.178127589063795e-4,FALSE,-0.1769884009942005,0.9292,0.95,0.05685584092792047,0.10294117647058823,0.12924606462303231,0.014498757249378625,-0.11474730737365368,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Cynoglossus abbreviatus,COI,18,0.1304888152444076,0.008699254349627174,FALSE,-0.12178956089478044,0.4706,0.8917,0.006628003314001657,0.09424192212096107,0.1033347141673571,0.01739850869925435,-0.08593620546810274,FALSE,5,0.0046603148301574155,-0.1258285004142502,0.7974,0.9713,1,moderate,genus_or_higher,FALSE,NA,high,0.97
Cynoglossus gracilis,COI,9,0.222970173985087,0.008906379453189726,FALSE,-0.21406379453189728,0.9722,0.9928,0.13369925434962718,0.11826843413421707,0.21473695111847554,0.0326222038111019,-0.18211474730737365,FALSE,5,0.007870753935376968,-0.21509942004971003,0.9722,0.9983,0,low,genus_or_higher,FALSE,NA,high,0.97
Cynoglossus joyneri,COI,74,0.1361847555923778,0.00756006628003314,FALSE,-0.12862468931234466,0.4147,0.9165,0.005592377796188898,0.09123860811930407,0.11081193040596521,0.015948632974316486,-0.09486329743164873,FALSE,5,0.005385252692626346,-0.13079950289975145,0.5205,0.9785,0,high,genus_or_higher,FALSE,NA,high,0.97
Cynoglossus robustus,COI,14,0.11961474730737365,0.011909693454846727,FALSE,-0.10770505385252692,0.5275,0.8657,0.013980944490472245,0.09227423363711681,0.10594449047224523,0.01843413421706711,-0.08751035625517813,FALSE,5,0.010252692626346312,-0.10936205468102733,0.5714,0.9342,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Cynoglossus semilaevis,COI,21,0.17978458989229495,0.005385252692626346,FALSE,-0.1743993371996686,0.8571,0.929,0.09926470588235295,0.10905136702568351,0.17885252692626347,0.024124896437448244,-0.15472763048881522,FALSE,5,0.0046603148301574155,-0.17512427506213754,0.8571,0.9827,0,high,genus_or_higher,FALSE,NA,high,0.97
Cynoglossus trigrammus,COI,6,0.2006006628003314,0.00807787903893952,FALSE,-0.19252278376139187,0.9333,0.979,0.1679784589892295,0.11422949461474731,0.2003831814415907,0.042455468102734054,-0.15792771333885663,FALSE,5,0.00807787903893952,-0.19252278376139187,0.9333,0.989,0,low,genus_or_higher,FALSE,NA,high,0.97
Cyprinus carpio,COI,1400,0.25590306545153274,0,FALSE,-0.25590306545153274,1,0.9997,0.09558823529411764,0.10511599005799503,0.1658036454018227,0.018744821872410937,-0.14705882352941177,FALSE,2,0.00010356255178127589,-0.25579950289975145,0.9995,0.9995,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Cyprinus multitaeniatus,COI,11,0.2610811930405965,0.0011391880695940347,FALSE,-0.2599420049710025,0.9636,0.9961,0.16538939519469759,0.13028169014084506,0.2606980115990058,0.017812758906379452,-0.24288525269262634,FALSE,2,3.106876553438277e-4,-0.2607705053852527,0.9636,0.9996,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Discogobio brachyphysallidos,COI,6,0.10149130074565037,0.004556752278376139,FALSE,-0.09693454846727423,0.6,0.5168,0.03583264291632146,0.0996271748135874,0.10134631317315658,0.012945318972659487,-0.08840099420049709,FALSE,1,3.106876553438277e-4,-0.10118061309030654,0.8667,0.6667,0,low,genus_or_higher,FALSE,NA,high,0.97
Discogobio yunnanensis,COI,6,0.17678127589063794,0.006420878210439105,FALSE,-0.17036039768019884,0.8667,0.8753,0.10366611433305717,0.10749792874896437,0.17656379453189727,0.015016570008285005,-0.16154722452361225,FALSE,1,3.106876553438277e-4,-0.1764705882352941,0.8667,0.9722,0,low,genus_or_higher,FALSE,NA,high,0.97
Distoechodon tumirostris,COI,20,0.2863504556752278,0.003624689312344656,FALSE,-0.28272576636288316,0.8632,0.9979,0.10040389395194699,0.10692833471416735,0.21482497928748956,0.014395194697597348,-0.20042978458989222,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Dussumieria elopsoides,COI,93,0.18144159072079535,0.010666942833471417,FALSE,-0.17077464788732394,0.6671,0.984,0.01915907207953604,0.10138773819386909,0.11029411764705882,0.01563794531897266,-0.09465617232808615,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Eleotris oxycephala,COI,14,0.2595277547638774,0.01056338028169014,FALSE,-0.24896437448218728,0.7802,0.9983,0.10190555095277548,0.11050124275062137,0.2104391052195526,0.01636288318144159,-0.19407622203811103,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Eleutheronema tetradactylum,COI,209,0.18227009113504558,0.009942004971002486,FALSE,-0.1723280861640431,0.7347,0.9873,0.022783761391880698,0.0962096106048053,0.10874067937033968,0.01708782104391052,-0.09165285832642917,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Elopichthys bambusa,COI,27,0.17916321458160728,0.006006628003314002,FALSE,-0.17315658657829328,0.7066,0.9717,0.08958160729080364,0.10687655343827672,0.12919428334714167,0.018019884009942005,-0.11117439933719966,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Folifer brevifilis,COI,10,0.1765741507870754,0.007767191383595692,FALSE,-0.1688069594034797,0.8222,0.8617,0.10242336371168186,0.11195111847555923,0.17624275062137534,0.02340513670256835,-0.15283761391880699,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Gambusia affinis,COI,105,0.20961060480530241,0.00807787903893952,FALSE,-0.20153272576636289,0.743,0.9981,0.01688069594034797,0.09310273405136703,0.11226180613090307,0.016570008285004142,-0.09569179784589893,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Geophagus brasiliensis,COI,85,0.20173985086992544,0.008906379453189726,FALSE,-0.1928334714167357,0.3804,0.9959,0.007456503728251864,0.09455260977630489,0.11132974316487158,0.01584507042253521,-0.09548467274233638,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Glossogobius giuris,COI,260,0.18444490472245237,0.007456503728251864,FALSE,-0.17698840099420052,0.7813,0.9987,0.013980944490472245,0.08823529411764706,0.08595691797845899,0.016777133388566696,-0.0691797845898923,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
